IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/0001;0420;01004;01500;Ambérieu-en-Bugey;;Avenue;Jules Pellaudin;45;;;3;CIBLE;;;;;;;;;;;;201508220000;FI-01004-000H;MonofibreZMD;;IMMEUBLE;RGF93;883128.14;6541850.53;N;3;;;;010042229Y;;;;;;;;
IMB/01004/X/0004;0105;01004;01500;Ambérieu-en-Bugey;01004222TG;Rue;des Arenes;24;;;10;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000N;MonofibreZMD;;IMMEUBLE;RGF93;883105.42;6542114.50;N;3;;;;010042224U;;;;;;;;
IMB/01004/X/0005;0010;01004;01500;Ambérieu-en-Bugey;01004223VV;Rue;Aguetant;2;B;;12;CIBLE;;RAA INCONNU 01;69003;Lyon 03;Rue;du Dauphiné;8;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882478.33;6542974.14;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/0007;0010;01004;01500;Ambérieu-en-Bugey;01004223VX;Rue;Aguetant;5;;;2;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882483.99;6542934.13;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/0008;0010;01004;01500;Ambérieu-en-Bugey;01004227ZM;Rue;Aguetant;6;;;4;CIBLE;;DEPARTEMENT DE L'AIN;01000;Bourg-en-Bresse;Avenue;Alsace-Lorraine;45;;;;;201509120000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882406.20;6542951.78;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/0009;0010;01004;01500;Ambérieu-en-Bugey;01004223VY;Rue;Aguetant;7;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882470.99;6542933.24;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000A;0010;01004;01500;Ambérieu-en-Bugey;01004223VZ;Rue;Aguetant;8;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882383.11;6542937.99;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000B;0010;01004;01500;Ambérieu-en-Bugey;01004223X2;Rue;Aguetant;9;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882454.97;6542929.38;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000C;0010;01004;01500;Ambérieu-en-Bugey;01004223X3;Rue;Aguetant;10;;;1;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882372.09;6542935.09;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000D;0010;01004;01500;Ambérieu-en-Bugey;01004223X4;Rue;Aguetant;11;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882440.89;6542918.51;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000E;0010;01004;01500;Ambérieu-en-Bugey;01004223X6;Rue;Aguetant;12;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882360.07;6542931.19;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000F;0010;01004;01500;Ambérieu-en-Bugey;01004223X7;Rue;Aguetant;13;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882422.88;6542915.67;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000G;0010;01004;01500;Ambérieu-en-Bugey;01004227ZN;Rue;Aguetant;14;;;30;CIBLE;;ALFA 3A;01500;Ambérieu-en-Bugey;Rue;Aguetant;14;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882326.01;6542921.49;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/000I;0010;01004;01500;Ambérieu-en-Bugey;0100422C6R;Rue;Aguetant;16;;;2;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882310.21;6542942.61;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000J;0010;01004;01500;Ambérieu-en-Bugey;0100422BLA;Rue;Aguetant;17;;;3;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882332.73;6542889.46;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000K;0010;01004;01500;Ambérieu-en-Bugey;01004223XB;Rue;Aguetant;18;;;1;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882291.94;6542909.79;N;3;;;;0100422242;;;;;;;aérosouterrain;
IMB/01004/X/000M;0020;01004;01500;Ambérieu-en-Bugey;01004223SV;Rue;Aimé Poncet;3;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882361.48;6542979.14;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000N;0020;01004;01500;Ambérieu-en-Bugey;01004223SX;Rue;Aimé Poncet;5;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882353.57;6542989.20;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000O;0020;01004;01500;Ambérieu-en-Bugey;01004223SY;Rue;Aimé Poncet;7;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882350.70;6543004.21;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000P;0020;01004;01500;Ambérieu-en-Bugey;01004223SZ;Rue;Aimé Poncet;9;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882330.77;6543010.38;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000Q;0020;01004;01500;Ambérieu-en-Bugey;01004223T2;Rue;Aimé Poncet;10;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882368.04;6543045.03;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000R;0020;01004;01500;Ambérieu-en-Bugey;01004223T3;Rue;Aimé Poncet;11;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882331.98;6543035.34;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000S;0020;01004;01500;Ambérieu-en-Bugey;01004223T4;Rue;Aimé Poncet;12;;2;6;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882385.29;6543075.85;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000T;0020;01004;01500;Ambérieu-en-Bugey;01004223T6;Rue;Aimé Poncet;13;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882325.15;6543054.39;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000U;0020;01004;01500;Ambérieu-en-Bugey;0100422AHX;Rue;Aimé Poncet;15;B;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882347.42;6543087.17;N;3;;;;010042223X;;;;;;;;
IMB/01004/X/000V;0020;01004;01500;Ambérieu-en-Bugey;01004223T7;Rue;Aimé Poncet;15;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882312.29;6543068.48;N;3;;;;010042223X;;;;;;;;
IMB/01004/X/000W;0020;01004;01500;Ambérieu-en-Bugey;0100422AHH;Rue;Aimé Poncet;17;B;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882298.80;6543127.55;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/000X;0020;01004;01500;Ambérieu-en-Bugey;01004223T9;Rue;Aimé Poncet;17;;;8;CIBLE;;BUGEY IMMOBILIER;01500;Ambérieu-en-Bugey;Rue;Aristide Briand;40;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882302.53;6543096.54;O;3;;;;010042223X;;;;;;;;
IMB/01004/X/000Y;0020;01004;01500;Ambérieu-en-Bugey;01004227ZG;Rue;Aimé Poncet;18;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882325.68;6543116.33;N;3;;;;010042223X;;;;;;;;
IMB/01004/X/000Z;0020;01004;01500;Ambérieu-en-Bugey;0100422BH2;Rue;Aimé Poncet;19;B;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882294.92;6543140.57;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/0010;0020;01004;01500;Ambérieu-en-Bugey;01004223TA;Rue;Aimé Poncet;19;;;8;CIBLE;;BUGEY IMMOBILIER;01500;Ambérieu-en-Bugey;Rue;Aristide Briand;40;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882275.71;6543113.76;O;3;;;;010042223X;;;;;;;;
IMB/01004/X/0011;0020;01004;01500;Ambérieu-en-Bugey;01004223TB;Rue;Aimé Poncet;20;;;1;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882348.87;6543140.11;N;3;;;;010042223X;;;;;;;souterrain;
IMB/01004/X/0012;0020;01004;01500;Ambérieu-en-Bugey;0100422BH3;Rue;Aimé Poncet;21;B;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882286.00;6543148.64;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/0013;0020;01004;01500;Ambérieu-en-Bugey;01004223TC;Rue;Aimé Poncet;21;;;8;CIBLE;;BUGEY IMMOBILIER;01500;Ambérieu-en-Bugey;Rue;Aristide Briand;40;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882258.02;6543148.88;O;3;;;;010042223X;;;;;;;;
IMB/01004/X/0014;0020;01004;01500;Ambérieu-en-Bugey;01004223TE;Rue;Aimé Poncet;22;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882316.99;6543151.37;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/0015;0020;01004;01500;Ambérieu-en-Bugey;0100422AHT;Rue;Aimé Poncet;23;B;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882285.10;6543160.64;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/0016;0020;01004;01500;Ambérieu-en-Bugey;01004223TG;Rue;Aimé Poncet;23;;;8;CIBLE;;BUGEY IMMOBILIER;01500;Ambérieu-en-Bugey;Rue;Aristide Briand;40;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882249.19;6543167.94;O;3;;;;010042223X;;;;;;;;
IMB/01004/X/0017;0020;01004;01500;Ambérieu-en-Bugey;01004223TH;Rue;Aimé Poncet;24;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882309.14;6543167.43;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/0018;0020;01004;01500;Ambérieu-en-Bugey;01004223TI;Rue;Aimé Poncet;25;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882267.30;6543182.77;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/0019;0020;01004;01500;Ambérieu-en-Bugey;01004223TL;Rue;Aimé Poncet;26;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882295.33;6543188.53;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/001A;0020;01004;01500;Ambérieu-en-Bugey;01004223TM;Rue;Aimé Poncet;30;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882281.57;6543215.62;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/001B;0020;01004;01500;Ambérieu-en-Bugey;01004223TN;Rue;Aimé Poncet;32;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882276.74;6543234.65;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/001C;0020;01004;01500;Ambérieu-en-Bugey;01004223TP;Rue;Aimé Poncet;34;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882271.89;6543251.67;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/001D;0020;01004;01500;Ambérieu-en-Bugey;01004223TR;Rue;Aimé Poncet;36;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882261.02;6543265.76;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/001E;0020;01004;01500;Ambérieu-en-Bugey;01004229R2;Rue;Aimé Poncet;38;;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882257.15;6543280.78;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/001J;0030;01004;01500;Ambérieu-en-Bugey;01004226MM;Rue;Aimé Vingtrinier;3;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882668.99;6542602.82;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001K;0030;01004;01500;Ambérieu-en-Bugey;01004226MN;Rue;Aimé Vingtrinier;4;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882668.88;6542590.83;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001L;0030;01004;01500;Ambérieu-en-Bugey;01004226MP;Rue;Aimé Vingtrinier;5;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882675.00;6542604.77;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001M;0030;01004;01500;Ambérieu-en-Bugey;01004226MR;Rue;Aimé Vingtrinier;6;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882673.90;6542592.79;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001N;0030;01004;01500;Ambérieu-en-Bugey;01004226MS;Rue;Aimé Vingtrinier;7;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882682.01;6542606.71;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001O;0030;01004;01500;Ambérieu-en-Bugey;01004226MT;Rue;Aimé Vingtrinier;8;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882680.90;6542593.73;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001P;0030;01004;01500;Ambérieu-en-Bugey;01004226MU;Rue;Aimé Vingtrinier;9;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882692.01;6542607.62;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001Q;0030;01004;01500;Ambérieu-en-Bugey;01004226MV;Rue;Aimé Vingtrinier;11;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882703.01;6542609.53;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001R;0030;01004;01500;Ambérieu-en-Bugey;;Rue;Aimé Vingtrinier;17;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882734.04;6542615.25;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001S;0030;01004;01500;Ambérieu-en-Bugey;0100422AYH;Rue;Aimé Vingtrinier;22;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882760.96;6542609.03;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001T;0030;01004;01500;Ambérieu-en-Bugey;0100422AYI;Rue;Aimé Vingtrinier;24;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882767.95;6542607.97;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001U;0030;01004;01500;Ambérieu-en-Bugey;0100422BII;Rue;Aimé Vingtrinier;26;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882774.96;6542610.91;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001V;0030;01004;01500;Ambérieu-en-Bugey;01004226MZ;Rue;Aimé Vingtrinier;27;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882798.18;6542638.68;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001W;0030;01004;01500;Ambérieu-en-Bugey;01004226N2;Rue;Aimé Vingtrinier;29;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882817.22;6542644.52;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001X;0030;01004;01500;Ambérieu-en-Bugey;01004226N3;Rue;Aimé Vingtrinier;31;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882820.38;6542663.47;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001Y;0030;01004;01500;Ambérieu-en-Bugey;01004226N4;Rue;Aimé Vingtrinier;33;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882832.43;6542670.36;N;3;;;;010042227A;;;;;;;;
IMB/01004/X/001Z;0040;01004;01500;Ambérieu-en-Bugey;01004223N3;Rue;Alexandre Bérard;1;;;18;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000F;MonofibreZMD;;IMMEUBLE;RGF93;882635.02;6542603.11;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0020;0040;01004;01500;Ambérieu-en-Bugey;01004223N4;Rue;Alexandre Bérard;2;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882654.97;6542599.95;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0021;0040;01004;01500;Ambérieu-en-Bugey;0100422AN3;Rue;Alexandre Bérard;3;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882635.08;6542610.11;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0022;0040;01004;01500;Ambérieu-en-Bugey;01004223N6;Rue;Alexandre Bérard;4;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882655.02;6542604.94;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0023;0040;01004;01500;Ambérieu-en-Bugey;01004223N7;Rue;Alexandre Bérard;5;;;4;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882632.12;6542615.13;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0024;0040;01004;01500;Ambérieu-en-Bugey;01004223N9;Rue;Alexandre Bérard;6;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882652.05;6542608.96;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0025;0040;01004;01500;Ambérieu-en-Bugey;01004223NA;Rue;Alexandre Bérard;7;;;4;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882628.21;6542625.15;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0026;0040;01004;01500;Ambérieu-en-Bugey;01004223NB;Rue;Alexandre Bérard;8;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882652.10;6542614.96;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0027;0040;01004;01500;Ambérieu-en-Bugey;01004223NC;Rue;Alexandre Bérard;9;;;4;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882625.31;6542636.17;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0028;0040;01004;01500;Ambérieu-en-Bugey;01004227YY;Rue;Alexandre Bérard;10;B;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882662.26;6542633.85;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/0029;0040;01004;01500;Ambérieu-en-Bugey;01004223NE;Rue;Alexandre Bérard;10;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882648.22;6542627.98;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002A;0040;01004;01500;Ambérieu-en-Bugey;01004223NG;Rue;Alexandre Bérard;11;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882621.39;6542645.20;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002B;0040;01004;01500;Ambérieu-en-Bugey;01004223NH;Rue;Alexandre Bérard;12;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882644.27;6542633.01;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002C;0040;01004;01500;Ambérieu-en-Bugey;01004223NI;Rue;Alexandre Bérard;13;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;IMMEUBLE;RGF93;882581.34;6542752.45;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002D;0040;01004;01500;Ambérieu-en-Bugey;01004223NL;Rue;Alexandre Bérard;14;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882643.30;6542637.01;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002E;0040;01004;01500;Ambérieu-en-Bugey;0100422C6M;Rue;Alexandre Bérard;15;B;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;PAVILLON;RGF93;882576.43;6542761.48;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002F;0040;01004;01500;Ambérieu-en-Bugey;01004223NM;Rue;Alexandre Bérard;15;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;PAVILLON;RGF93;882582.42;6542761.43;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002G;0040;01004;01500;Ambérieu-en-Bugey;01004223NN;Rue;Alexandre Bérard;16;;;6;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882641.32;6542639.03;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002H;0040;01004;01500;Ambérieu-en-Bugey;01004223NP;Rue;Alexandre Bérard;17;;;5;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000M;MonofibreZMD;;IMMEUBLE;RGF93;882573.51;6542771.50;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002I;0040;01004;01500;Ambérieu-en-Bugey;01004223NR;Rue;Alexandre Bérard;18;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882641.37;6542645.02;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002J;0040;01004;01500;Ambérieu-en-Bugey;;Rue;Alexandre Bérard;19;B;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;IMMEUBLE;RGF93;882556.54;6542772.64;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002K;0040;01004;01500;Ambérieu-en-Bugey;01004223NS;Rue;Alexandre Bérard;19;;;6;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000M;MonofibreZMD;;IMMEUBLE;RGF93;882572.58;6542779.50;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002L;0040;01004;01500;Ambérieu-en-Bugey;01004223NU;Rue;Alexandre Bérard;20;;;4;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882641.41;6542650.02;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002M;0040;01004;01500;Ambérieu-en-Bugey;01004223NX;Rue;Alexandre Bérard;22;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882637.47;6542656.05;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002N;0040;01004;01500;Ambérieu-en-Bugey;01004223NY;Rue;Alexandre Bérard;23;;;44;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;IMMEUBLE;RGF93;882559.82;6542805.59;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002O;0040;01004;01500;Ambérieu-en-Bugey;01004223NZ;Rue;Alexandre Bérard;24;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;PAVILLON;RGF93;882634.53;6542663.07;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002P;0040;01004;01500;Ambérieu-en-Bugey;01004223P2;Rue;Alexandre Bérard;25;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000M;MonofibreZMD;;PAVILLON;RGF93;882558.91;6542815.59;N;3;;;;010042223U;;;;;;;;
IMB/01004/X/002Q;0040;01004;01500;Ambérieu-en-Bugey;01004223P3;Rue;Alexandre Bérard;26;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000G;MonofibreZMD;;IMMEUBLE;RGF93;882632.58;6542668.08;N;3;;;;010042223U;;;;;;;;
