IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/00XT;0550;01004;01500;Ambérieu-en-Bugey;;Rue;de la République;80;B;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882210.09;6543035.39;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00XU;0550;01004;01500;Ambérieu-en-Bugey;01004224BS;Rue;de la République;80;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882214.96;6543020.36;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00XV;0550;01004;01500;Ambérieu-en-Bugey;01004224BT;Rue;de la République;81;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000F;MonofibreZMD;;PAVILLON;RGF93;882307.34;6542840.72;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00XW;0550;01004;01500;Ambérieu-en-Bugey;01004224BU;Rue;de la République;82;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882190.39;6543068.53;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00XX;0550;01004;01500;Ambérieu-en-Bugey;01004224BV;Rue;de la République;84;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882182.54;6543085.58;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00XY;0550;01004;01500;Ambérieu-en-Bugey;0100422C6X;Rue;de la République;86;B;;4;CIBLE;;RAA INCONNU 01;69003;Lyon 03;Rue;du Dauphiné;8;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882214.83;6543122.27;O;3;;;;010042224L;;;;;;;;
IMB/01004/X/00XZ;0550;01004;01500;Ambérieu-en-Bugey;0100422C6C;Rue;de la République;86;;;3;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882171.76;6543109.65;N;3;;;;010042224L;;;;;;;aérosouterrain;
IMB/01004/X/00Y0;0550;01004;01500;Ambérieu-en-Bugey;01004224BX;Rue;de la République;88;;;4;CIBLE;;RAA INCONNU 01;69003;Lyon 03;Rue;du Dauphiné;8;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882191.77;6543112.48;O;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Y1;0550;01004;01500;Ambérieu-en-Bugey;01004224BY;Rue;de la République;89;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882269.62;6542870.02;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y2;0550;01004;01500;Ambérieu-en-Bugey;01004224BZ;Rue;de la République;90;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882171.84;6543118.65;N;3;;;;010042224L;;;;;;;aérosouterrain;
